unitid,academicyear,instname,cpi_scalar_2012,hepi_scalar_2012,fte_count,tuition03,net_student_tuition,federal10,state09,private03,auxiliary03,other05,grant01,grant02,grant03,grant07,institutional_grant_aid,instruction01,research01,pubserv01,acadsupp01,studserv01,instsupp01,auxiliary01,opermain01,grants01,eandg01,eandg01_sum,eandg01_w_auxother_sum
220075,2000,East Tennessee State University,0.7439632632434692,0.671555252387449,9773.738543000001,35066316.0,24726805.0,19641116.0,79392264.0,14849227.0,7018914.0,3291544.0,6520333.0,657293.0,1307333.0,10339512.0,1854553.0,90864176.0,8141812.0,6523522.0,15836997.0,11354043.0,11829991.0,7027505.0,9446687.0,10339512.0,167485056.0,164336740.0,171364245.0
220075,2001,East Tennessee State University,0.7694504866741371,0.7118008185538879,9497.929498,37161832.0,25459323.0,19968224.0,90912576.0,37128224.0,7211269.0,3441276.0,6892097.0,666838.0,1677230.0,11702510.0,2466345.0,113556608.0,9582782.0,11285626.0,16082299.0,12687744.0,12645035.0,7006365.0,11265720.0,11702510.0,199115840.0,198808324.0,205814689.0
220075,2002,East Tennessee State University,0.783072968162942,0.725443383356071,9663.207176,42788312.0,22796263.0,27522594.0,95631992.0,13659093.0,7347560.0,17776258.0,8247998.0,603574.0,1839059.0,19992048.0,9301418.0,99355600.0,11975748.0,10274990.0,15497277.0,11621136.0,12810471.0,5407548.0,14039085.0,9925390.0,185499696.0,185499697.0,191451336.0
220075,2003,East Tennessee State University,0.8002109287456329,0.7622783083219651,9773.734958,46280400.0,24222940.0,31597764.0,100143872.0,6328001.0,7521044.0,18126624.0,8622888.0,796659.0,2069001.0,22057460.0,10568912.0,96339880.0,13148331.0,10991276.0,16295352.0,12274479.0,13033960.0,6103707.0,15548544.0,11764757.0,189396576.0,189396579.0,195905355.0
220075,2004,East Tennessee State University,0.8177883242150591,0.790245566166439,10060.614712,53180680.0,31009846.0,30611592.0,99191832.0,403500.0,8172396.0,20157306.0,8922149.0,618542.0,2021011.0,22170836.0,10609133.0,95911328.0,8888247.0,15320050.0,15383674.0,12250214.0,13572442.0,5450537.0,16642626.0,10710189.0,188678768.0,188678770.0,194383793.0
220075,2005,East Tennessee State University,0.842396677872256,0.821282401091405,10228.821604,58588708.0,29572931.0,33833176.0,106677848.0,1919734.0,8609278.0,19844532.0,8998962.0,678417.0,7063142.0,29015776.0,12275255.0,102815624.0,8540870.0,14373663.0,17389190.0,13048757.0,15328748.0,5937734.0,18483742.0,13622564.0,203603152.0,203603158.0,209723383.0
220075,2006,East Tennessee State University,0.8744754246039592,0.863233287858117,10394.018375,64502584.0,31568948.0,32041880.0,112854592.0,3308354.0,9247843.0,21256440.0,8636562.0,577232.0,9851070.0,32933636.0,13868773.0,106757904.0,8651081.0,15113947.0,17714556.0,14221747.0,15956286.0,5879846.0,24394276.0,14732118.0,217541920.0,217541915.0,223558191.0
220075,2007,East Tennessee State University,0.897053589084437,0.887789904502046,10845.1796875,69491792.0,31019507.0,32611024.0,123577584.0,2938005.0,9845486.0,22176988.0,8947421.0,1299216.0,14347536.0,38472288.0,13878116.0,114029976.0,10305797.0,16791424.0,17794752.0,17192952.0,17364760.0,6503815.0,17557990.0,17783112.0,228820768.0,228820763.0,235768323.0
220075,2008,East Tennessee State University,0.930292443917123,0.9317871759890859,11447.646203,78495364.0,35050624.0,34400421.0,137289649.0,4466756.0,12438967.0,22989950.0,10010168.0,939866.0,16717112.0,43444740.0,15777594.0,123909886.0,9978188.0,18425576.0,21219761.0,17132352.0,18933749.0,8478274.0,25193186.0,18936480.0,253729178.0,253729178.0,262793492.0
220075,2009,East Tennessee State University,0.943282139169029,0.9525920873124151,11905.970073999999,87068636.0,37978466.0,31805803.0,138830241.0,3417025.0,13989551.0,29609887.0,11573280.0,1051619.0,19612569.0,49090170.0,16852702.0,125486938.0,10426265.0,21295205.0,21972507.0,16738490.0,19772976.0,7493259.0,30847842.0,21336446.0,267876669.0,267876669.0,275823168.0
